,Name,IfcType,Type_Name,Height,Length,Width,GrossFootprintArea,NetVolume,NetSideArea,FireRating,Reference,ThermalTransmittance,IsExternal,ExtendToStructure,LoadBearing,Typ,Laenge,Dicke,Hoehe,Hoehe_korrekt,Nettoflaeche,Nettovolumen,Aussenbauteil,TragendesElement,BrandabschnittsdefinierendesBauelement,Feuerwiderstandsklasse,VerweisBauteilkatalog,Betonart,Expositionsklasse,BewehrungsgradVolumen,Ausfuehrung,Project,Storey,PitchAngle,Perimeter,GrossArea,NetArea,GrossVolume,NumberOfRiser,NumberOfTreads,RiserHeight,TreadLength,Auftrittsbreite,Stufenhoehe,AnzahlSteigungen,CrossSectionArea,NetSurfaceArea,Span,Slope,Breite,Tiefe,OuterSurfaceArea,GrossSurfaceArea,NosingLength,WalkingLineOffset,TreadLengthAtOffset,TreadLengthAtInnerSide,ProjectedArea,TotalArea,RequiredHeadroom,Depth,Ebene,Querkraft,Herstellermodell,Beschreibung
0,Basiswand:AW - STB 200:3865023,IfcWallStandardCase,Basiswand:AW - STB 200,2.72,18.1500000000002,0.2,3.61000000000003,5.44155999999849,27.2718000000008,EI90+A2,AW - STB 200,5.23,True,False,True,Basiswand: AW - STB 200,17.9600000000002,0.2,2.72,True,27.2718000000008,5.44155999999849,True,True,Ja,EI90+A2,"AW01-01, AW08-01",C25/30,XC1,95.0,ND,2001,No BuildingStorey found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Basiswand:AW - STB 200:3865349,IfcWall,Basiswand:AW - STB 180,,8.09,,1.598,3.97007999999999,20.1224,ND,AW - STB 180,5.81111111111111,False,,,Basiswand: AW - STB 180,7.99,0.18,,,20.1224,3.97007999999999,False,,,ND,"AW02-01, AW07-01, AW03-01",C30/37,B2,105.0,,,,0.0,156.060000000002,634.107100000017,1301.46480000182,1.56046000000024,17.0,18.0,0.172941176470588,0.27,0.27,0.172941176470588,17.0,2.41101075787716,4.82202151575433,1.067,0.0,1.3,0.3,0.535490462674046,0.548239782521108,0.0,1.96850393700787,0.27,0.27,7.85379094738152,7.85379094738189,2.1,0.220000000000001,Ebene: 01_OG-RDOK,55000.0,KL-M9-V1-REI120-CV1-H220-1.0,z.B. SCHÖCK od.glw.
2,Basiswand:AW - STB 200:3865412,IfcSlab,Basiswand:IW - STB 180,2.69,,0.18,,,,,IW - STB 180,4.75454545454545,,True,False,Basiswand: IW - STB 180,8.45000000000018,0.22,2.69,False,12.5100000000003,2.4475999999979,,False,Nein,,"IW01-01, IW04-2",C40/50,,140.0,,,,10.2184811213148,74.3799999999998,328.343999999999,672.325199999999,1.38005999999977,20.0,20.0,0.1795,0.2675,0.2675,0.1795,20.0,57.2854793181037,114.570958636207,31.372,,2.1,0.25,44.6400000000028,49.0032000000028,,1.96850393700785,,,3.63999999998568,3.63999999998568,,0.574999982547756,Ebene: 02_OG-RDOK,54000.0,QP-V2-REI120-CV1-H220-L500-1.0,
3,Basiswand:AW - STB 180:3865972,IfcStair,Geschossdecke:STB 220,2.66,17.64,0.25,3.1752,8.636544,47.9808,A2,STB 220,4.184,,,,Geschossdecke: STB 220,17.64,0.25,2.66,,47.9808,8.636544,,,,A2,"FB01-01, FB03-01, FB05-01, FB10-01, FB16-01",,XC0,110.0,,,,1.14919029489411,235.020000000003,1140.90310000003,2372.89655187417,1.38006000000005,16.0,15.0,0.18375,,,0.18375,16.0,60.6722004265804,121.344400853161,17.84,,1.2,0.4,44.6400000000027,49.0032000000027,,,,,29.3232894265871,29.4399868464245,,0.16190823176574,Ebene: 03_OG-RDOK,0.0,,
4,Basiswand:IW - STB 180:3866431,IfcBeam,Basiswand:AW - STB 250,2.87,4.3049999999996,0.3,0.77489999999992,2.10772799999966,11.7095999999989,,AW - STB 250,3.48666666666667,,,,Basiswand: AW - STB 250,4.4949999999993,0.3,2.87,,11.7095999999989,2.10772799999966,,,,,AWxxx,C20/25,,120.0,,,,1.14983436345043,197.939965336455,805.034156924045,2328.64261321569,1.32327799999977,6.0,16.0,0.171176470588235,,,0.171176470588235,21.0,44.9737001294974,89.9474002589947,12.925,,0.95,0.35,44.6400000000021,49.0032000000021,,,,,6.10999999997129,6.10999999997128,,,Ebene: 02_OG-FOK,,,
5,Basiswand:IW - STB 180:3866982,IfcColumn,Basiswand:IW - STB 250,2.978,9.55,0.22,1.719,4.67568,25.976,,IW - STB 250,2.615,,,,Basiswand: IW - STB 250,9.55,0.4,3.51507256773183,,25.976,4.67568,,,,,IW03,,,100.0,,,,1.15010168491228,96.3399999999992,256.455999999996,1647.16763304175,2.61743999999999,5.0,6.0,0.172941176470589,,,0.179047619047619,,43.0892003816383,86.1784007632767,17.6,,1.75,0.8,17.98,35.0656,,,,,6.19553768492174,6.19553768492175,,,Ebene: 00_EG-FOK,,,
6,Basiswand:AW - STB 200:3867830,IfcStairFlight,Geschossdecke:STB 250,3.408,8.08999999999999,0.4,3.57400000000003,4.34656,22.0048,,STB 250,,,,,Geschossdecke: STB 250,7.98999999999999,,2.978,,22.0048,4.34656,,,,,"FB02-01, FB04-01, FB06-01, FB11-01, FB12-01, FB13-01, FB14-01, FB17-01, FB18-01, FB19-01, FB20-01",,,300.0,,,,33.5499232163606,92.9348797891934,517.892400000006,789.775388939232,2.49600000000003,8.0,4.0,0.179047619047619,,,,,16.1924999733389,32.3849999466779,11.84,,2.02,,19.5799999999973,36.1055999999985,,,,,3.63999999998566,3.63999999998567,,,Ebene: 03_OG-FOK,,,
7,Geschossdecke:STB 220:3898536,IfcRoof,Geschossdecke:STB 200,3.0284,17.9700000000002,0.545,1.95120000000003,138.464392000533,25.7133000000006,,STB 200,1.91926605504587,,,,Geschossdecke: STB 200,,0.545,3.408,,629.383600002421,,,,,,"FB19-02, DA06-01",,,250.0,,,,,103.314879789192,14.0630000000003,784.506035413847,1.61475466840063,9.0,17.0,,,,,,43.0892000000006,86.1784000000013,8.0,,0.4,,31.6576000000001,33.8176000000001,,,,,4.80999999997664,4.80999999997664,,,Ebene: 04_DG-FOK,,,
8,Basiswand:AW - STB 200:3907226,IfcRamp,Basiswand:AW - STB 300 Erdberührend,2.9824,10.8400000000001,0.249999999999999,1.47400000000012,5.08885999999668,11.5804499999989,,AW - STB 300 Erdberührend,2.98857142857143,,,,Basiswand: AW - STB 300 Erdberührend,10.8500000000001,0.35,2.9824,,25.7133000000006,5.08885999999668,,,,,AW05-01,,,160.0,,,,,102.859999999999,7.09300000000105,823.188882175156,0.808704000000007,21.0,8.0,,,,,,16.4225000000004,32.8450000000008,11.55,,0.65,,21.1140000000001,21.9940000000002,,,,,12.2465227370677,12.246522737068,,,Ebene: 01_OG-FOK,,,
9,Basiswand:IW - STB 180:3908464,IfcBuildingElementProxy,Geschossdecke:STB 220 - Balkonplatten,0.689999999999999,7.47000000000061,0.0199999999999998,3.2112,2.08448099999966,27.0848200000001,,STB 220 - Balkonplatten,6.97333333333333,,,,Geschossdecke: STB 220 - Balkonplatten,7.27000000000061,0.15,0.77,,11.5804499999989,2.08448099999966,,,,,DA03-01,,,,,,,,78.0799999999996,7.09300000000107,823.810776412543,33.0302699999941,12.0,9.0,,,,,,40.6547000000012,81.3094000000023,13.4,,0.35,,0.118000000000015,0.478000000000011,,,,,,,,,,,,
10,Basiswand:IW - STB 180:3908582,IfcFooting,Basiswand:AT - STB 180,3.658,17.84,0.0200000000000001,1.59799999999999,4.87526760000002,8.13870000000167,,AT - STB 180,2.092,,,,Basiswand: AT - STB 180,7.9,0.5,0.58,,27.0848200000001,4.87526760000002,,,,,ND,,,0.0,,,,,180.099999999994,7.09300000000111,527.291878361763,1.5154914241706,11.0,11.0,,,,,,7.91636210608673,15.8327242121735,12.6,,1.0,,15.4194000690454,30.293000149227,,,,,,,,,,,,
11,Basiswand:AW - STB 200:3908767,,Geschossdecke:STB 400 - LIFTSCHACHTGRUBE,3.022,8.0,0.15,1.58000000000001,1.57393999999955,47.9896,,STB 400 - LIFTSCHACHTGRUBE,1.90181818181818,,,,Geschossdecke: STB 400 - LIFTSCHACHTGRUBE,3.24999999999997,0.55,0.57,,8.13870000000167,1.57393999999955,,,,,,,,,,,,,77.6799999999998,8.1180000000005,1504.36850000003,1.51549142417062,10.0,10.0,,,,,,21.1874999999985,42.374999999997,12.8,,0.8,,12.9719999999994,14.6999999999994,,,,,,,,,,,,
12,Basiswand:AW - STB 180:3909001,,Geschossdecke:STB 180,2.813,7.71,0.55,1.3878,8.638128,21.5194,,STB 180,0.135,,,,Geschossdecke: STB 180,11.1950000000005,0.6,3.658,,47.9896,8.638128,,,,,"FB07-01, FB09-01, FB15-01",,,,,,,,178.479999999996,6.27299999999896,687.189599999999,1.46981642417136,3.0,21.0,,,,,,37.4481000990273,74.8962001980545,1.85,,0.16,,12.972,14.7,,,,,,,,,,,,
13,Basiswand:AW - STB 200:3909111,,No RelatingType,2.878,3.14999999999998,0.6,0.787500000000006,4.25068,21.28,,Fertigbetontreppe STGH - 1 Stockwerkstrennlinie,1.74333333333333,,,,Fertigbetontreppe: Fertigbetontreppe STGH - 1 Stockwerkstrennlinie,17.6400000000006,0.7,3.022,,21.5194,4.25068,,,,,DA02-01,,,,,,,,141.360000000001,6.88799999999945,1631.57091449048,0.00303919925962452,18.0,3.0,,,,,,24.0749999999969,48.1499999999938,23.405,,3.3,,10.0480000000006,20.2300000000013,,,,,,,,,,,,
14,Basiswand:AW - STB 200:3909188,,Geschossdecke:STB 545 - Bodenplatte Kellerräume,1.76294117647059,11.4200000000005,0.7,2.28400000000011,4.20280000000001,20.7399,,STB 545 - Bodenplatte Kellerräume,1.49428571428571,,,,Geschossdecke: STB 545 - Bodenplatte Kellerräume,21.8850000000002,0.8,2.813,,21.28,4.20280000000001,,,,,IW02,,,,,,,,274.705000000003,6.27300000000025,1598.16790744911,0.865211775421317,,,,,,,,44.9737001294964,89.9474002589928,17.725,,0.68,,,20.2300000000014,,,,,,,,,,,,
15,Basiswand:IW - STB 180:3909318,,Geschossdecke:STB 350 - Decke ü. TG überschüttet,2.91,17.6400000000006,0.220000000000001,3.17520000000011,3.73318200000002,8.47349999999993,,STB 350 - Decke ü. TG überschüttet,,,,,Geschossdecke: STB 350 - Decke ü. TG überschüttet,5.12999999999987,1.545,2.878,,20.7399,3.73318200000002,,,,,DA0X-01,,,,,,,,179.806370408225,7.60870000000422,1062.87822698375,0.809399999999996,,,,,,,,22.6749999999938,45.3499999999876,8.1,,0.93,,,,,,,,,,,,,,,
16,Basiswand:IW - STB 180:3909412,,Basiswand:IW - STB 200,2.52,21.9200000000002,1.545,4.38399999999998,3.73318200000001,15.9184000000015,,IW - STB 200,,,,,Basiswand: IW - STB 200,14.775,0.75,3.458,,8.47349999999993,3.73318200000001,,,,,FB08 (nur Ausrundung Rampe TG),,,,,,,,17.8200000000001,7.09300000000102,1984.62445068981,0.86308700897666,,,,,,,,23.0074999999939,46.0149999999879,16.815,,0.08,,,,,,,,,,,,,,,
17,Basiswand:AW - STB 250:3926985,,Basiswand:AW - STB 250 Erdberührend,3.023,5.02999999999988,0.75,1.25749999999999,2.11837499999998,47.4516000000017,,AW - STB 250 Erdberührend,,,,,Basiswand: AW - STB 250 Erdberührend,8.41999999999876,,0.55,,15.9184000000015,2.11837499999998,,,,,FB08-01,,,,,,,,11.0200000000006,8.11800000000034,1442.719094274,0.863087008976655,,,,,,,,47.296200258994,94.5924005179881,16.69,,0.3,,,,,,,,,,,,,,,
18,Basiswand:AW - STB 200:3927094,,STB Träger - rechteckig:STB T B1.1b 2100x900 (550 bis RDUK),2.36049982046693,14.74,0.5,2.65320000000001,3.1836799999986,32.7640000000006,,STB T B1.1b 2100x900 (550 bis RDUK),,,,,STB Träger - rechteckig: STB T B1.1b 2100x900 (550 bis RDUK),7.9000000000006,,2.4266165876777,,47.4516000000017,3.1836799999986,,,,,AW06-01,,,,,,,,11.0200000000007,14.1655000000016,32.1334000000007,0.863087008976651,,,,,,,,46.7772003237444,93.5544006474889,17.265,,0.2,,,,,,,,,,,,,,,
19,Basiswand:AW - STB 180:3927587,,STB Stütze - rechteckig:STB 300 x 2100,3.41347301017354,8.20499999999877,0.574999982547756,1.47689999999976,8.5412880000003,13.5306999999997,,STB 300 x 2100,,,,,STB Stütze - rechteckig: STB 300 x 2100,4.64999999999942,,2.41540869686543,,32.7640000000006,8.5412880000003,,,,,Verfüllung Magerbeton,,,,,,,,12.0200000000004,14.3705000000003,16.6974000000022,0.863087008976656,,,,,,,,43.6097001294978,87.2194002589956,2.74,,2.5,,,,,,,,,,,,,,,
20,Basiswand:AW - STB 200:3927718,,STB Träger - rechteckig:STB T1.1 - 1200x900 (550 bis RDUK),2.1821834379482,7.71000000000061,0.0551060777587163,1.38780000000011,6.55279999999567,35.5010399999995,,STB T1.1 - 1200x900 (550 bis RDUK),,,,,STB Träger - rechteckig: STB T1.1 - 1200x900 (550 bis RDUK),5.12999999999925,,1.08,,13.5306999999997,6.55279999999567,,,,,,,,,,,,,10.2199999999993,8.31089999998973,16.6974000000023,0.863087008976672,,,,,,,,37.4481000990269,74.8962001980539,2.87,,8.84,,,,,,,,,,,,,,,
21,Basiswand:AW - STB 250:3927802,,STB Stütze - rechteckig:STB 300 x 1200,3.078,4.73999999999942,,1.18499999999987,3.38267499999991,19.9966699999964,,STB 300 x 1200,,,,,STB Stütze - rechteckig: STB 300 x 1200,3.009,,2.40949982046678,,35.5010399999995,3.38267499999991,,,,,,,,,,,,,10.8199999999997,8.3109000000101,16.6104000000024,0.863087008976674,,,,,,,,36.304100099028,72.608200198056,17.065,,8.24,,,,,,,,,,,,,,,
22,Basiswand:IW - STB 180:3930683,,STB Stütze - rechteckig:STB 250 x 950,2.07402658741829,5.22999999999925,,0.923399999999859,6.39018719999992,20.7399000000016,,STB 250 x 950,,,,,STB Stütze - rechteckig: STB 250 x 950,4.09000000000001,,2.57800251346499,,19.9966699999964,6.39018719999992,,,,,,,,,,,,,10.2200000000002,7.19549999999934,18.9674000000011,1.25577241472174,,,,,,,,4.75749999999763,9.51499999999526,6.9,,14.33,,,,,,,,,,,,,,,
23,Basiswand:IW - STB 180:3930802,,STB Träger - rechteckig:STB T4.1 - 1750x1330 (1080 bis RDUK),1.85,2.999,,0.599799999999993,3.59940059999935,12.7505999999985,,STB T4.1 - 1750x1330 (1080 bis RDUK),,,,,STB Träger - rechteckig: STB T4.1 - 1750x1330 (1080 bis RDUK),2.77000000000013,,0.4,,20.7399000000016,3.59940059999935,,,,,,,,,,,,,11.6800000000031,7.19550000000058,14.7943999999978,0.923747978456008,,,,,,,,44.8542499999957,89.7084999999914,8.125,,14.1,,,,,,,,,,,,,,,
24,Basiswand:IW - STB 180:3930901,,STB Stütze - rechteckig:STB 300 x 1750,1.45,4.29000000000001,,0.858000000000002,3.7331820000003,14.068699999998,,STB 300 x 1750,,,,,STB Stütze - rechteckig: STB 300 x 1750,15.64,,2.94,,12.7505999999985,3.7331820000003,,,,,,,,,,,,,12.0200000000003,6.74265000000336,16.2433999999988,0.923747978456015,,,,,,,,16.3600000000002,32.7200000000004,1.116,,3.20000000000001,,,,,,,,,,,,,,,
25,Basiswand:IW - STB 180:3930936,,STB Träger - rechteckig:STB T3.1 - 1200x1330 (1080 bis RDUK),2.94,3.14999999999997,,0.567000000000003,3.18764999999961,4.08690999999999,,STB T3.1 - 1200x1330 (1080 bis RDUK),,,,,STB Träger - rechteckig: STB T3.1 - 1200x1330 (1080 bis RDUK),7.8,,3.37,,325.419999999999,3.18764999999961,,,,,,,,,,,,,17.9200000000004,8.31090000000267,14.7944000000005,0.923747978456006,,,,,,,,16.1225000000001,32.2450000000002,23.3,,5.10060379854886,,,,,,,,,,,,,,,
26,Basiswand:IW - STB 250:3931834,,STB Träger - rechteckig:STB T' - 2020x1330(1080 bis RDUK),3.07,2.86000000000074,,0.51480000000014,71.5923999999996,6.07530000000002,,STB T' - 2020x1330(1080 bis RDUK),,,,,STB Träger - rechteckig: STB T' - 2020x1330(1080 bis RDUK),7.90000000000001,,2.98,,14.068699999998,2.48394599999962,,,,,,,,,,,,,18.1200000000001,8.21627559690459,17.8740000000091,0.923747978456029,,,,,,,,11.3497,22.6994,1.21,,6.69999999999987,,,,,,,,,,,,,,,
27,Geschossdecke:STB 220:3932637,,STB Träger - rechteckig:STB T2.1b - 1200x900 (550 bis RDUK),2.45,15.64,,2.81519999999997,2.48394599999962,7.69340000000199,,STB T2.1b - 1200x900 (550 bis RDUK),,,,,STB Träger - rechteckig: STB T2.1b - 1200x900 (550 bis RDUK),10.94,,1.76294117647059,,4.08690999999999,0.817381999998714,,,,,,,,,,,,,12.3799999999949,6.01489999999897,18.9674000000007,0.923747978456034,,,,,,,,11.4505000000001,22.9010000000001,,,3.2,,,,,,,,,,,,,,,
28,Basiswand:AW - STB 180:3937723,,STB Träger - rechteckig:STB T - 650x650 (400 bis RDUK),2.56,7.71000000000001,,2.81520000000001,0.817381999998714,37.9220399999994,,STB T - 650x650 (400 bis RDUK),,,,,STB Träger - rechteckig: STB T - 650x650 (400 bis RDUK),4.08999999999987,,2.91,,6.07530000000002,1.21505999999918,,,,,,,,,,,,,12.3800000000054,13.4154000000056,32.4474000000032,0.923747978456028,,,,,,,,61.5661005485542,123.132201097108,,,1.18,,,,,,,,,,,,,,,
29,Basiswand:AW - STB 200:3937939,,STB Stütze - rechteckig:STB 30 x 120,2.55431497867429,4.28999999999987,,1.38779999999999,1.21505999999918,37.9220399999995,,Maisonette - Massiv - Stufen Naturstein - 2 Stockwerkstrennlinien,,,,,Ortbetontreppe: Maisonette - Massiv - Stufen Naturstein - 2 Stockwerkstrennlinien,3.35,,2.52,,7.69340000000199,1.52522999999997,,,,,,,,,,,,,11.1199999999996,13.415399999998,32.8144000000007,0.923747978456077,,,,,,,,42.2431500096538,84.4863000193076,,,0.799999999999993,,,,,,,,,,,,,,,
30,Basiswand:AW - STB 200:3938183,,STB Stütze - rechteckig:STB 400 x 400,0.979999999999998,3.35,,0.857999999999974,1.52522999999997,7.49549999999961,,STB 30 x 120,,,,,STB Stütze - rechteckig: STB 30 x 120,6.91099999999959,,3.453,,37.9220399999994,1.38481200000034,,,,,,,,,,,,,11.1200000000004,8.31090000000261,19.4323999999783,0.923747978456051,,,,,,,,34.4026002257535,68.8052004515069,,,,,,,,,,,,,,,,,,
31,Basiswand:AW - STB 180:3938317,,STB Stütze - rechteckig:STB 350 x 350,0.180000000000001,6.90099999999959,,0.67,1.38481200000034,5.46669999999999,,STB 400 x 400,,,,,STB Stütze - rechteckig: STB 400 x 400,4.09099999999996,,2.32800000000016,,37.9220399999995,6.8259671999999,,,,,,,,,,,,,10.8500000000016,8.31090000001855,19.4324000000214,15.707520000001,,,,,,,,5.24040004623315,10.4808000924663,,,,,,,,,,,,,,,,,,
32,Basiswand:IW - STB 180:3940857,,RHS Stütze (EN 10210-2):RHS 100x80,0.18,4.29099999999996,,1.36219999999992,6.8259671999999,13.3258699999989,,STB 350 x 350,,,,,STB Stütze - rechteckig: STB 350 x 350,3.35000000000001,,3.078,,1154.31735032059,6.82596719999991,,,,,,,,,,,,,12.379999999998,7.10440000000467,16.9243999999986,15.7075200000007,,,,,,,,5.30880008463488,10.6176001692698,,,,,,,,,,,,,,,,,,
33,Basiswand:IW - STB 180:3940915,,Massivtreppenlauf:STGH D=220 - 300 x 600 - Auftritt 20 / Steigung 20,0.950000000000001,1.88,,0.858199999999983,6.82596719999991,7.49836999999986,,RHS 100x80,,,,,RHS Stütze (EN 10210-2): RHS 100x80,1.78,,2.11402055219708,,1126.31056116106,4.45841499999735,,,,,,,,,,,,,12.333271899706,7.10740000000229,16.9244000000012,1.32327799999998,,,,,,,,32.6020000796973,65.2040001593946,,,,,,,,,,,,,,,,,,
34,Basiswand:IW - STB 180:3940999,,Massivtreppenpodest:Podest 250,0.800000000000002,7.9090000000004,,0.650000000000001,253.907091343205,5.39560000000001,,STGH D=220 - 300 x 600 - Auftritt 20 / Steigung 20,,,,,,7.9090000000004,,1.9,,22.5281999999999,1.49909999999837,,,,,,,,,,,,,10.1399999999996,7.1074000000026,15.9593000000071,2.73776799999995,,,,,,,,23.3891738300738,46.7783476601477,,,,,,,,,,,,,,,,,,
35,Basiswand:IW - STB 180:3941077,,Massivtreppenlauf:STGH D=160 - 300 x 600 - Auftritt 20 / Steigung 20,0.8,7.09999999999954,,0.320399999999998,281.577640290264,14.0910300000012,,Podest 250,,,,,Massivtreppenpodest: Podest 250,6.90999999999955,,3.07,,7.49549999999961,1.09333999999866,,,,,,,,,,,,,17.3600000000026,7.10740000000233,19.4324000000049,1.38005999999954,,,,,,,,2.69599999738948,5.39199999477896,,,,,,,,,,,,,,,,,,
36,Basiswand:IW - STB 180:3941162,,Basiswand:AW - STB 300,2.6942,4.53999999999999,,1.56380000000008,1.49909999999837,13.8969999999987,,STGH - Massiv - Stufen Naturstein - 1 Stockwerkstrennlinie,,,,,Ortbetontreppe: STGH - Massiv - Stufen Naturstein - 1 Stockwerkstrennlinie,4.44999999999999,,2.45,,5.46669999999999,2.61351399999768,,,,,,,,,,,,,17.36,7.10740000000255,19.2328710117445,2.58422999999946,,,,,,,,29.3532500342786,58.7065000685572,,,,,,,,,,,,,,,,,,
37,Geschossdecke:STB 220:3941712,,STB Träger - rechteckig:STB T5.1 - 100x1330 (1080 bis RDUK),3.26,2.86000000000061,,1.38199999999991,1.09333999999866,13.0298,,STGH D=160 - 300 x 600 - Auftritt 20 / Steigung 20,,,,,Basiswand: AW - STB 300,2.76999999999998,,2.56,,13.3258699999989,1.49967399999842,,,,,,,,,,,,,12.3799999999987,7.10740000000376,14.2605999999979,1.13200999999958,,,,,,,,30.3980000000016,60.7960000000033,,,,,,,,,,,,,,,,,,
38,Geschossdecke:STB 250:3944051,,STB Träger - rechteckig:STB T4a.1 - 1750x900 (550 bis RDUK),2.778,15.46,,0.817200000000009,2.61351399999768,8.20820000000174,,AW - STB 300,,,,,STB Träger - rechteckig: STB T5.1 - 100x1330 (1080 bis RDUK),7.89999999999999,,2.55431497867429,,7.49836999999986,1.03593999999866,,,,,,,,,,,,,12.3800000000099,7.10740000000248,30.7370000000119,1.33443164154377,,,,,,,,30.6195000000002,61.2390000000003,,,,,,,,,,,,,,,,,,
39,Basiswand:AW - STB 200:3946229,,STB Träger - rechteckig:STB T - 800x800 (550 bis RDUK),1.17864882748335,7.70999999999999,,0.514800000000116,1.49967399999842,40.2206399999995,,STB T5.1 - 100x1330 (1080 bis RDUK),,,,,STB Träger - rechteckig: STB T4a.1 - 1750x900 (550 bis RDUK),4.18,,0.979999999999998,,5.39560000000001,0.919547999999994,,,,,,,,,,,,,11.2600000000034,7.1074000000025,30.7369999999959,1.0584,,,,,,,,30.5445,61.089,,,,,,,,,,,,,,,,,,
40,Basiswand:AW - STB 200:3946442,,Basiswand:AW - STB 150 Erdberührend,3.5151,3.99999999999996,,2.78280000000001,1.03593999999866,22.1277,,STB T4a.1 - 1750x900 (550 bis RDUK),,,,,STB Träger - rechteckig: STB T - 800x800 (550 bis RDUK),7.8999999999994,,0.18,,14.0910300000012,2.76654599999939,,,,,,,,,,,,,11.2000000000015,6.54359999999996,19.4324000000393,0.435199999999996,,,,,,,,2.12371005745613,4.24742011491225,,,,,,,,,,,,,,,,,,
41,Basiswand:AW - STB 200:3946756,,Basisdach:Dach TG-Lüftung - STB 150,3.51507256773183,7.7099999999994,,1.38779999999998,0.919547999999994,20.8112,,STB T - 800x800 (550 bis RDUK),,,,,Basiswand: AW - STB 150 Erdberührend,4.17999999999996,,2.983,,13.8969999999987,2.67033999999765,,,,,,,,,,,,,11.2000000000023,6.24000000000007,16.7730000000101,0.475799999999974,,,,,,,,46.4559597072524,92.9119194145049,,,,,,,,,,,,,,,,,,
